articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,매매,중/39,6억,95A,70,114동,http://rego.kr/rd/rd.asp?UID=2236098722
e편한세상송도,아파트,전세,중/37,"3억 3,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2236048008
e편한세상송도,아파트,전세,고/38,"2억 5,000",95B,70,103동,http://land.mk.co.kr/rd/rd.php?UID=2236084701
e편한세상송도,아파트,매매,고/37,"5억 9,000",95A,70,104동,https://realestate.hankyung.com/naver-listing?UID=2237568137
e편한세상송도,아파트,전세,고/37,3억,114A,84,110동,http://rego.kr/rd/rd.asp?UID=2237587472
e편한세상송도,아파트,전세,고/35,"2억 3,000",95B-1,70,105동,http://rego.kr/rd/rd.asp?UID=2236811273
e편한세상송도,아파트,월세,고/35,"1억 5,000",95B-1,70,105동,http://rego.kr/rd/rd.asp?UID=2236810275
e편한세상송도,아파트,전세,고/39,"2억 5,000",95A,70,101동,http://www.neonet.co.kr/rd/rd.php?UID=2236829516
e편한세상송도,아파트,매매,저/35,"5억 5,000",95B,70,105동,http://rego.kr/rd/rd.asp?UID=2235869427
e편한세상송도,아파트,월세,저/37,"3,000",95B,70,104동,http://rego.kr/rd/rd.asp?UID=2235872300
e편한세상송도,아파트,월세,중/39,"5,000",95A,70,114동,http://homesdid.co.kr/rd.asp?UID=2235939541
e편한세상송도,아파트,매매,고/39,"8억 5,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2235876590
e편한세상송도,아파트,월세,고/39,1억,95B,70,114동,http://homesdid.co.kr/rd.asp?UID=2236022870
e편한세상송도,아파트,전세,저/38,"2억 9,000",95B,70,103동,http://rego.kr/rd/rd.asp?UID=2235867642
e편한세상송도,아파트,전세,저/33,"3억 3,000",113B,84,108동,http://homesdid.co.kr/rd.asp?UID=2235943925
e편한세상송도,아파트,매매,고/38,"5억 5,000",95B,70,103동,http://land.mk.co.kr/rd/rd.php?UID=2235972472
e편한세상송도,아파트,매매,저/35,"8억 3,000",113B,84,109동,http://rego.kr/rd/rd.asp?UID=2235876152
e편한세상송도,아파트,월세,중/35,"3,000",113B,84,109동,http://rego.kr/rd/rd.asp?UID=2235864207
e편한세상송도,아파트,매매,저/38,6억,95A,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2235859641
e편한세상송도,아파트,전세,저/38,"2억 8,000",95A,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2235858863
e편한세상송도,아파트,전세,고/35,3억,114A,84,109동,http://rego.kr/rd/rd.asp?UID=2235857589
e편한세상송도,아파트,월세,고/38,"5,000",95B-1,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2235853808
e편한세상송도,아파트,매매,저/38,7억,95B,70,103동,http://rego.kr/rd/rd.asp?UID=2235850868
e편한세상송도,아파트,전세,20/37,3억,95B,70,104동,http://rego.kr/rd/rd.asp?UID=2234962062
e편한세상송도,아파트,매매,고/39,"7억 4,000",114A,84,107동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2237306302
